Province/Territory,study level,2015,2016,2017,2018,2019,2020,2021,2022,2023
Newfoundland and Labrador,Secondary or less,180,310,335,330,375,175,525,840,850
Newfoundland and Labrador,Post Secondary,1375,1595,1760,1835,2135,1180,2735,3010,3220
Newfoundland and Labrador,Other Studies,90,85,150,145,115,35,40,50,75
Newfoundland and Labrador,Education level not stated,0,0,0,0,0,0,0,0,0
Prince Edward Island,Secondary or less,175,205,270,450,400,290,475,590,750
Prince Edward Island,Post Secondary,500,760,905,1060,1260,735,1215,1600,1860
Prince Edward Island,Other Studies,235,215,280,370,240,270,205,225,480
Prince Edward Island,Education level not stated,0,0,0,0,0,0,0,0,0
Nova Scotia,Secondary or less,1215,1425,1580,1645,1755,990,1445,2495,3755
Nova Scotia,Post Secondary,4215,4840,5070,6795,7215,3710,7775,9715,11520
Nova Scotia,Other Studies,865,805,1215,1580,1445,375,785,955,810
Nova Scotia,Education level not stated,0,0,5,0,10,0,0,0,10
New Brunswick,Secondary or less,415,570,725,925,1010,515,1460,1995,2955
New Brunswick,Post Secondary,1785,1815,1945,2410,3150,1650,4295,5525,7765
New Brunswick,Other Studies,125,240,245,400,210,105,170,135,205
New Brunswick,Education level not stated,0,0,0,0,0,0,0,0,5
Quebec,Secondary or less,2530,2975,3570,3960,5410,3695,6040,6750,9980
Quebec,Post Secondary,24555,26540,29515,34585,44885,33255,51420,49895,59720
Quebec,Other Studies,3250,4045,5100,5610,6955,5625,6230,6255,8475
Quebec,Education level not stated,25,15,15,20,15,15,10,10,15
Ontario,Secondary or less,21310,24900,29215,30730,33000,20800,24405,31545,45350
Ontario,Post Secondary,64090,85970,107750,122975,146570,93170,180575,238590,295590
Ontario,Other Studies,11940,14390,20630,22635,20555,7325,16275,21565,23570
Ontario,Education level not stated,55,50,55,60,60,40,60,80,100
Manitoba,Secondary or less,1045,1235,1495,1510,1670,1230,2315,3050,4450
Manitoba,Post Secondary,5210,6390,7715,9145,9420,6690,9395,10760,13775
Manitoba,Other Studies,730,1000,1355,1440,1040,540,970,1090,1090
Manitoba,Education level not stated,5,0,0,5,0,0,5,0,5
Saskatchewan,Secondary or less,965,995,915,900,1090,845,1320,1940,2880
Saskatchewan,Post Secondary,2705,3085,3195,4230,4675,2520,4835,6155,8760
Saskatchewan,Other Studies,265,270,430,655,500,130,255,340,455
Saskatchewan,Education level not stated,0,5,0,0,0,0,0,5,15
Alberta,Secondary or less,4135,3925,3895,3965,4610,3225,4870,7225,11860
Alberta,Post Secondary,8705,10390,10890,12925,14215,8880,17755,20125,28635
Alberta,Other Studies,1855,2065,1960,1955,1715,825,1175,1285,1580
Alberta,Education level not stated,10,10,5,5,25,0,10,5,20
British Columbia,Secondary or less,17365,19325,20135,19690,20130,13365,20895,24095,27710
British Columbia,Post Secondary,30260,37495,46030,51615,56780,42365,65495,77975,91835
British Columbia,Other Studies,9815,9620,11145,11245,10000,3865,8330,9200,7905
British Columbia,Education level not stated,50,40,35,35,35,25,65,35,45
Yukon,Secondary or less,0,10,15,20,35,35,80,85,140
Yukon,Post Secondary,25,35,170,55,85,75,115,75,110
Yukon,Other Studies,10,10,10,0,10,0,0,0,5
Yukon,Education level not stated,0,0,0,0,0,0,0,0,0
Northwest Territories,Secondary or less,15,20,20,20,25,15,20,30,35
Northwest Territories,Post Secondary,5,0,0,0,0,5,10,10,10
Northwest Territories,Other Studies,0,0,0,0,0,0,0,0,0
Nunavut,Secondary or less,0,0,0,0,0,0,0,0,0
Nunavut,Post Secondary,0,0,0,0,0,0,0,0,5
Nunavut,Other Studies,0,0,0,0,0,0,0,0,0
